especies;Peso;Browsers;Grazers;Dispersor;Depredator;Small;Medium;Large;Invertebrates;Carnivoro;Insetivoro;Frugivoro;Onivoro;Herbivoro;Terrestre;Fossorial;Aquatico;Arboricola;agua;arvores;Vegetação;Solo;S._Baixa;S._Media;S._Alta;Social
Alou_belz;5.625;56.9;0.0;43.1;0.0;0.0;0.0;0.0;0.0;n;n;y;n;y;n;n;n;y;n;y;n;n;n;y;n;y
Alou_cara;6.425;76.9;0.0;23.1;0.0;0.0;0.0;0.0;0.0;n;n;y;n;y;n;n;n;y;n;y;n;n;y;n;n;y
Alou_guar;6;72.4;0.0;24.0;3.7;0.0;0.0;0.0;0.0;n;n;y;n;y;n;n;n;y;n;y;n;n;y;n;n;y
Brac_arac;10.75;61.5;0.0;36.5;2.1;0.0;0.0;0.0;0.0;n;n;y;n;y;n;n;n;y;n;y;n;n;n;n;y;y
Brac_hypo;13;66.7;0.0;33.3;0.0;0.0;0.0;0.0;0.0;n;n;y;n;y;n;n;n;y;n;y;n;n;n;n;y;y
Brad_torq;6.6;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;n;n;y;n;n;n;y;n;y;n;n;n;y;n;n
Brad_vari;3.9;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;n;n;y;n;n;n;y;n;y;n;n;n;y;n;n
Caba_tato;5.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;n;y;n;n;n;y;y;n;n;n;n;n;y;y;n;n;n
Caba_unic;3.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;n;y;n;n;n;y;y;n;n;n;n;n;y;y;n;n;n
Call_coim;1.02;29.3;0.0;62.1;7.3;0.0;0.0;0.0;1.3;n;n;y;n;y;n;n;n;y;n;y;n;n;n;n;y;y
Call_mela;1.37;16.1;0.0;55.3;28.2;0.0;0.0;0.0;0.4;n;n;y;n;y;n;n;n;y;n;y;n;n;n;y;n;y
Call_nigr;1.3;31.7;0.0;45.3;14.4;0.0;0.0;0.0;8.6;n;n;y;n;y;n;n;n;y;n;y;n;n;y;n;n;y
Call_pers;1.31;27.2;0.0;72.3;0.0;0.0;0.0;0.0;0.5;n;n;y;n;y;n;n;n;y;n;y;n;n;n;y;n;y
Call_auri;0.4;0.0;0.0;29.3;0.0;0.0;0.0;0.0;70.7;n;n;y;y;n;n;n;n;y;n;y;n;n;n;n;y;y
Call_flav;0.4;0.0;0.0;22.8;0.0;0.0;0.0;0.0;77.2;n;n;y;y;n;n;n;n;y;n;y;n;n;n;n;y;y
Call_geof;0.29;0.0;0.0;48.5;0.0;0.5;0.0;0.0;51.0;n;n;y;y;n;n;n;n;y;n;y;n;n;y;n;n;y
Call_jacc;0.29;30.5;0.0;43.0;0.0;0.5;0.0;0.0;26.0;n;n;y;y;n;n;n;n;y;n;y;n;n;y;n;n;y
Call_kuhl;0.315;3.0;0.0;83.0;0.0;0.0;0.0;0.0;14.0;n;n;y;y;n;n;n;n;y;n;y;n;n;n;y;n;y
Call_peni;0.25;0.0;0.0;52.0;0.0;0.0;0.0;0.0;48.0;n;n;y;y;n;n;n;n;y;n;y;n;n;y;n;n;y
Cavi_aper;0.549;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;n;n;y;y;n;n;n;n;n;y;n;y;n;n;n
Cavi_fulg;0.283;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;n;n;y;y;n;n;n;n;n;y;n;y;n;n;n
Cavi_inte;0.615;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;n;n;y;y;n;n;n;n;n;y;n;n;n;y;n
Cavi_magn;0.76;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;n;n;y;y;n;n;n;n;n;y;n;y;n;n;n
Cerd_thou;6.5;0.0;0.0;41.3;0.0;32.4;1.5;0.1;24.7;n;n;n;y;n;y;n;n;n;n;n;y;y;y;n;n;n
Chae_subs;1.3;99.7;0.0;0.0;0.3;0.0;0.0;0.0;0.0;n;n;y;n;y;n;n;n;y;n;y;n;n;n;n;y;n
Chry_brac;25;0.6;0.0;46.2;0.0;40.5;5.8;0.2;6.7;n;n;n;y;n;y;n;n;n;n;n;y;y;y;n;n;n
Coen_insi;1.27;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;y;n;y;n;n;n;y;n;y;n;n;y;n;n;n
Coen_preh;4.25;43.0;0.0;0.0;57.0;0.0;0.0;0.0;0.0;n;n;y;n;y;n;n;n;y;n;y;n;n;y;n;n;n
Coen_spin;1.8;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;y;n;y;n;n;n;y;n;y;n;n;y;n;n;n
Cone_chin;1.75;0.0;0.0;2.7;0.0;10.4;1.1;0.1;85.7;n;n;y;y;n;y;n;n;n;n;n;y;y;y;n;n;n
Cone_semi;2.4;0.0;0.0;12.0;0.0;4.0;0.0;0.0;84.0;n;n;y;y;n;y;n;n;n;n;n;y;y;y;n;n;n
Cuni_paca;9.3;6.5;0.0;46.8;46.7;0.0;0.0;0.0;0.0;n;n;y;n;y;y;n;n;n;n;n;y;n;y;n;n;n
Dasy_azar;3;4.9;0.0;54.0;35.9;0.0;0.0;0.0;5.2;n;n;y;n;y;y;n;n;n;n;n;y;n;y;n;n;n
Dasy_lepo;5.5;4.9;0.0;54.0;35.9;0.0;0.0;0.0;5.2;n;n;y;n;y;y;n;n;n;n;n;y;n;y;n;n;n
Dasy_prym;3;4.9;0.0;54.0;35.9;0.0;0.0;0.0;5.2;n;n;y;n;y;y;n;n;n;n;n;y;n;y;n;n;n
Dasy_hybr;2.04;26.0;0.0;11.0;0.0;1.5;0.0;0.0;61.5;n;y;n;y;n;y;y;n;n;n;n;y;y;n;y;n;n
Dasy_nove;3.65;0.6;0.0;5.4;0.0;1.3;0.0;0.0;92.7;n;y;n;y;n;y;y;n;n;n;n;y;y;y;n;n;n
Dasy_sept;1.5;12.2;0.0;4.7;0.0;0.0;0.0;0.0;83.2;n;y;n;y;n;y;y;n;n;n;n;y;y;y;n;n;n
Dide_albi;1.6;0.0;0.0;29.0;0.0;20.0;0.0;0.0;51.0;n;n;y;y;n;y;n;n;y;n;y;y;n;y;n;n;n
Dide_auri;1.235;0.0;0.0;28.0;0.0;8.4;0.0;0.0;63.6;n;n;y;y;n;y;n;n;y;n;y;y;n;y;n;n;n
Eira_barb;7;0.0;0.0;37.7;0.0;45.7;1.3;0.0;15.3;n;n;y;y;n;y;n;n;y;n;y;y;n;y;n;n;n
Euph_sexc;5.4;13.6;0.0;28.4;0.0;3.8;0.0;0.0;54.2;n;y;n;y;n;y;y;n;n;n;n;y;y;y;n;n;n
Gali_cuja;2;0.0;0.0;0.0;0.0;69.6;24.6;0.3;5.5;y;n;n;n;n;y;n;n;n;n;n;y;n;y;n;n;n
Gali_vitt;2.55;0.0;0.0;0.0;0.0;87.5;12.5;0.0;0.0;y;n;n;n;n;y;n;n;n;n;n;y;n;y;n;n;n
Guer_bras;0.17;3.8;0.0;96.2;0.0;0.0;0.0;0.0;0.0;n;n;y;n;n;y;n;n;y;n;y;y;n;y;n;n;n
Hydr_hydr;50;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;n;n;y;y;n;y;n;y;n;y;n;y;n;n;y
Leon_cais;0.57;0.0;0.0;92.0;0.0;1.0;0.0;0.0;7.0;n;n;y;y;n;n;n;n;y;n;y;n;n;n;n;y;y
Leon_chry;0.6;15.0;0.0;71.0;0.0;0.0;0.0;0.0;14.0;n;n;y;y;n;n;n;n;y;n;y;n;n;n;n;y;y
Leon_ry.1;0.615;23.0;0.0;68.0;0.0;0.0;0.0;0.0;9.0;n;n;y;y;n;n;n;n;y;n;y;n;n;n;n;y;y
Leon_rosa;0.6;0.0;0.0;85.0;0.0;0.0;0.0;0.0;15.0;n;n;y;y;n;n;n;n;y;n;y;n;n;n;n;y;y
Leop_gutt;2.25;0.0;0.0;0.0;0.0;94.4;1.4;0.2;4.0;y;n;n;n;n;y;n;n;y;n;y;y;n;y;n;n;n
Leop_pard;9.5;0.0;0.0;0.0;0.0;85.8;13.7;0.5;0.0;y;n;n;n;n;y;n;n;n;n;n;y;n;y;n;n;n
Leop_wied;6;0.0;0.0;0.0;0.0;90.9;5.8;0.0;3.3;y;n;n;n;n;y;n;n;y;n;y;y;n;y;n;n;n
Lont_long;6;0.0;0.0;0.1;0.0;76.4;0.1;0.0;23.4;y;n;n;n;n;y;n;y;n;y;n;n;n;y;n;n;n
Lyca_gymn;4.4;0.0;0.0;29.7;0.0;22.6;0.0;0.0;47.7;n;n;n;y;n;y;n;n;n;n;n;y;y;y;n;n;n
Lyca_vetu;4;0.0;0.0;20.4;0.0;7.2;0.0;0.0;72.4;n;n;n;y;n;y;n;n;n;n;n;y;y;y;n;n;n
Maza_amer;36;36.7;0.0;3.8;59.2;0.0;0.0;0.0;0.3;n;n;y;n;y;y;n;n;n;n;n;y;n;y;n;n;n
Maza_boro;25;36.7;0.0;3.8;59.2;0.0;0.0;0.0;0.3;n;n;y;n;y;y;n;n;n;n;n;y;n;n;n;y;n
Maza_goua;21;22.4;0.0;4.7;72.6;0.0;0.0;0.0;0.3;n;n;y;n;y;y;n;n;n;n;n;y;n;y;n;n;n
Maza_nana;17.5;22.4;0.0;4.7;72.6;0.0;0.0;0.0;0.3;n;n;y;n;y;y;n;n;n;n;n;y;n;n;n;y;n
Myoc_coyp;1;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;y;n;y;y;n;y;n;y;n;n;n;y;n;n;y
Myrm_trid;30.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;n;y;n;n;n;y;n;n;n;n;n;n;y;n;y;n;n
Nasu_nasu;5.725;0.0;0.0;34.6;0.0;12.5;0.0;0.0;52.9;n;n;y;y;n;n;n;n;n;n;y;y;n;y;n;n;y
Ozot_bezo;35;50.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;n;n;y;y;n;n;n;n;n;y;n;n;y;n;y
Pant_onca;109;0.0;0.0;0.5;0.0;8.4;24.3;66.6;0.3;y;n;n;n;n;y;n;n;n;n;n;y;n;n;n;y;n
Peca_taja;25;25.0;0.0;3.3;62.4;0.3;0.0;0.0;9.0;n;n;y;y;n;y;n;n;n;n;n;y;y;n;n;y;y
Poto_flav;2.6;6.4;0.0;90.4;0.0;0.0;0.0;0.0;3.2;n;n;y;y;n;n;n;n;y;n;y;n;n;y;n;n;n
Prio_maxi;26.8;1.3;0.0;6.7;0.0;0.0;0.0;0.0;92.0;n;y;n;y;n;y;y;n;n;n;n;y;y;n;n;y;n
Proc_canc;4.9;0.0;0.0;41.9;0.0;20.7;0.3;0.0;37.1;n;n;y;y;n;n;n;n;n;y;n;y;n;y;n;n;n
Pter_bras;30;0.0;0.0;0.0;0.0;20.0;80.0;0.0;0.0;y;n;n;n;n;y;n;y;n;y;n;n;n;n;n;y;y
Puma_conc;45;0.0;0.0;0.0;0.0;15.9;55.9;25.6;2.6;y;n;n;n;n;y;n;n;n;n;n;y;n;y;n;n;n
Puma_yago;4.5;0.0;0.0;0.0;0.0;94.9;4.2;0.1;0.8;y;n;n;n;n;y;n;n;n;n;n;y;n;y;n;n;n
Sapa_apel;3.9;15.4;0.0;40.1;0.0;0.0;0.0;0.0;44.6;n;n;y;y;n;n;n;n;y;n;y;n;n;y;n;n;y
Sapa_flav;2.5;21.3;0.0;63.0;2.6;1.0;0.0;0.0;12.2;n;n;y;y;n;n;n;n;y;n;y;n;n;n;n;y;y
Sapa_libi;2.75;22.3;0.0;42.8;8.3;0.2;0.0;0.0;26.3;n;n;y;y;n;n;n;n;y;n;y;n;n;y;n;n;y
Sapa_nigr;3.5;19.8;0.0;53.0;11.3;0.1;0.0;0.0;15.9;n;n;y;y;n;n;n;n;y;n;y;n;n;y;n;n;y
Sapa_robu;3;10.0;0.0;85.0;0.0;0.0;0.0;0.0;5.0;n;n;y;y;n;n;n;n;y;n;y;n;n;y;n;n;y
Sapa_xant;3;25.0;0.0;38.5;0.0;0.0;0.0;0.0;36.5;n;n;y;y;n;n;n;n;y;n;y;n;n;y;n;n;y
Speo_vena;6;0.0;0.0;2.5;0.0;24.5;68.0;0.0;5.0;y;n;n;n;n;y;n;n;n;n;n;y;n;n;n;y;y
Sylv_bras;1.2;40.0;60.0;0.0;0.0;0.0;0.0;0.0;0.0;n;n;n;n;y;y;n;n;n;n;n;y;n;y;n;n;n
Tama_tetr;5.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;n;y;n;n;n;y;n;n;y;n;y;n;y;n;y;n;n
Tapi_terr;260;72.4;0.0;11.3;16.3;0.0;0.0;0.0;0.0;n;n;y;n;y;y;n;n;n;n;n;y;n;n;n;y;n
Taya_peca;35;29.1;0.0;3.2;60.3;0.3;0.0;0.0;7.1;n;n;y;y;n;y;n;n;n;n;n;y;y;n;n;y;y
